,0,1,2
0,1586,42.29283,-71.07366
1,1921,42.30292,-71.07026
2,4010,42.300819,-71.058991
3,1127,42.312525,-71.057507
4,4357,42.31227,-71.05173
5,3755,42.37309,-71.03431
6,372,42.37999,-71.026699
7,3276,42.37796,-71.03532
8,4434,42.38047,-71.06535
9,3842,42.38047,-71.06535
10,3974,42.36072,-71.12981
11,506,42.34336,-71.14455
12,960,42.34209,-71.14963
13,4982,42.33942,-71.15852
14,11,42.33942,-71.15852
15,881,42.297689,-71.172977
16,1131,42.301015,-71.166797
17,1164,42.301344,-71.165803
18,6,42.333614,-71.153143
19,1875,42.34248,-71.14486
20,1198,42.344066,-71.142154
21,3930,42.346921,-71.136604
22,4258,42.35066,-71.08912
23,4389,42.34991,-71.08861
24,2936,42.3414,-71.08812
25,320,42.32394,-71.08226
26,2172,42.31943,-71.07824
27,466,42.31018,-71.08594
28,1850,42.30195,-71.10566
29,3845,42.29309,-71.08888
30,1812,42.27933,-71.08883
31,3698,42.26969,-71.12047
32,2776,42.27788,-71.12172
33,2812,42.28604,-71.10895
34,3900,42.29155,-71.15811
35,2006,42.29105,-71.16536
36,4990,42.28206,-71.16212
37,2409,42.25598,-71.15854
38,2939,42.260359,-71.152087
39,1298,42.27394,-71.14983
40,740,42.28863,-71.14411
41,3103,42.29106,-71.13906
42,723,42.31872,-71.10804
43,1232,42.31448,-71.09417
44,1085,42.356884,-71.059129
45,1701,42.3669,-71.05369
46,3188,42.36679,-71.05916
47,3654,42.36679,-71.05916
48,4166,42.34221,-71.07017
49,1858,42.34125,-71.07039
50,2008,42.34125,-71.07039
51,1104,42.3484,-71.07047
52,40,42.351948,-71.071587
53,1299,42.351948,-71.071587
54,1263,42.3582,-71.06238
55,163,42.361728,-71.063264
56,608,42.361728,-71.063264
57,3775,42.35154,-71.08595
58,4142,42.346839,-71.088403
59,2994,42.346839,-71.088403
