,StreetNum,StreetName,ZipCode,Lat,Long,PickupType,Grade,Geocode,NeighborhoodSafetyScore,MaxWalk,AssignedSchool,CurrentSchoolStart,CurrentSchoolEnd,SchoolAddress,SchoolLat,SchoolLong,StopFlex,NewLat,NewLong
0,1,CLAREMONT PK,2118,42.342049,-71.080765,Corner,3,25025070800,3,0.5,Johnny Pesky School,8:30:00 AM,4:00:00 PM,"236 Beech St, 02131",42.281233,-71.141075,0.5,42.337429999999998,-71.075209999999998
1,1,DUNFORD ST,2119,42.31742,-71.09455,Corner,1,25025081500,5,0.4,Tris Speaker School,7:30:00 AM,2:10:00 PM,"40 Pershing Rd, 02130",42.318999,-71.114084,0.4,42.314479999999996,-71.094169999999991
2,1,ORGAN PARK ST,2131,42.28824,-71.11313,D2D,6,25025110301,4,0.5,John Gorman School,8:30:00 AM,4:00:00 PM,"110 Beachview Rd, 02128",42.391629,-71.005053,0.0,42.288240000000002,-71.113129999999998
3,2295,CENTRE ST,2132,42.27175,-71.16177,Corner,1,25025130402,2,0.4,Roger Clemens School,7:30:00 AM,3:00:00 PM,"200 Heath St, 02130",42.326009,-71.106552,0.4,42.26925,-71.166560000000004
4,1,WESTINGHOUSE PZ,2136,42.3594,-71.0587,D2D,4,25025030300,7,0.3,Joe Dobson School,8:30:00 AM,4:00:00 PM,"61 School St, 02119",42.313946,-71.097867,0.0,42.359400000000001,-71.058700000000002
5,2360,CENTRE ST,2132,42.27023,-71.1617,Corner,0,25025130404,3,0.3,Carl Yastrzemski School,7:30:00 AM,3:00:00 PM,"11 Charles St, 02122",42.300881,-71.061732,0.3,42.26925,-71.166560000000004
6,2400,BEACON ST,2467,42.333614,-71.153143,D2D,4,25025000502,2,0.5,Reggie Smith School,9:30:00 AM,5:00:00 PM,"40 Gordon Ave, 02136",42.256769,-71.127075,0.0,42.333614000000004,-71.153143
7,2400,BEACON ST,2467,42.333614,-71.153143,D2D,4,25025000502,2,0.5,Carlton Fisk School,7:30:00 AM,2:10:00 PM,"60 Washington St, 02121",42.307152,-71.081162,0.0,42.333614000000004,-71.153143
8,2400,BEACON ST,2467,42.333614,-71.153143,D2D,2,25025000502,2,0.3,Dick Radatz School,8:30:00 AM,4:00:00 PM,"1205 VFW Pkwy, 02132",42.282206,-71.174549,0.0,42.333614000000004,-71.153143
9,2400,BEACON ST,2467,42.333614,-71.153143,Corner,6,25025000502,2,0.5,Dutch Leonard School,8:30:00 AM,4:00:00 PM,"655 Metropolitan Av, 02136",42.262783,-71.117881,0.5,42.339420000000004,-71.158519999999996
10,1,FAIRFAX ST,2124,42.28371,-71.06052,D2D,0,25025100800,4,0.2,Dave Ferriss School,8:30:00 AM,4:00:00 PM,"150 Newbury St, 02116",42.350546,-71.07797,0.0,42.283709999999999,-71.060519999999997
11,2400,BEACON ST,2467,42.333614,-71.153143,Corner,5,25025000502,2,0.5,Reggie Smith School,9:30:00 AM,5:00:00 PM,"40 Gordon Ave, 02136",42.256769,-71.127075,0.5,42.339420000000004,-71.158519999999996
12,2400,BEACON ST,2467,42.333614,-71.153143,Corner,3,25025000502,2,0.3,Rick Ferrell School,7:30:00 AM,3:00:00 PM,"570 Amer Legion Hwy, 02131",42.286377,-71.107826,0.3,42.337200000000003,-71.149850000000001
13,1,GANNETT ST,2121,42.31472,-71.08209,Corner,3,25025082000,6,0.5,Jimmie Foxx School,7:30:00 AM,3:00:00 PM,"50 Burke St, 02127",42.337285,-71.085266,0.5,42.312748999999997,-71.083101999999997
14,2450,BEACON ST,2135,42.331689,-71.155635,Corner,5,25025000502,2,0.5,Herb Pennock School,7:30:00 AM,2:10:00 PM,"100 Maxwell St, 02124",42.281211,-71.080863,0.5,42.338000000000001,-71.152619999999999
15,1,NASSAU ST,2111,42.34856,-71.062948,D2D,4,25025070200,7,0.5,Harry Hooper School,7:30:00 AM,2:10:00 PM,"9 Peacevale Rd, 02124",42.285125,-71.076013,0.0,42.348559999999999,-71.062947999999992
16,2480,CENTRE ST,2132,42.26588,-71.16268,Corner,3,25025130404,3,0.5,Luis Tiant School,9:30:00 AM,5:00:00 PM,"6 Shirley St, 02119",42.323526,-71.072897,0.5,42.264559999999996,-71.163619999999995
17,1,PARK LA,2127,42.34848,-71.038813,Corner,3,25025060600,6,0.5,Mike Greenwell School,8:30:00 AM,3:10:00 PM,"1060 Morton St, 02126",42.277863,-71.077536,0.5,42.347099,-71.038057999999992
18,1,PARK LA,2127,42.34848,-71.038813,Corner,1,25025060600,6,0.4,Curt Schilling School,9:30:00 AM,4:10:00 PM,"95 Beechcroft St, 02135",42.352125,-71.160745,0.4,42.347099,-71.038057999999992
19,1,AVERY ST,2111,42.353458,-71.062852,Corner,5,25025070101,7,0.5,Bob Stanley School,9:30:00 AM,5:00:00 PM,"11 Charles St, 02122",42.300881,-71.061732,0.5,42.350850000000001,-71.056820000000002
20,2667,CENTRE ST,2132,42.259499,-71.163854,D2D,3,25025130402,2,0.3,John Gorman School,8:30:00 AM,4:00:00 PM,"110 Beachview Rd, 02128",42.391629,-71.005053,0.0,42.259498999999998,-71.163854000000001
21,2806,WASHINGTON ST,2119,42.32125,-71.092202,Corner,4,25025081700,7,0.5,Vern Stephens School,9:30:00 AM,5:00:00 PM,"50 Bunker Hill St, 02129",42.37668,-71.057759,0.5,42.314479999999996,-71.094169999999991
22,1,OLEARY WY,2130,42.30052,-71.108863,Corner,0,25025110103,3,0.2,Eddie Kasko School,8:30:00 AM,4:00:00 PM,"97 Peterborough St, 02215",42.343455,-71.099084,0.2,42.300965000000005,-71.108558000000002
